User,User Type,Restaurant,Date,Time,Week Day,Order ID,Reference ID,Item name,Vendor Name,Item Type,Food Type,MRP Item,Quantity,,,,,,,,,,,,,,,,,,,,
181b0427b12c11047f4ce8eaafbbbd3d,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,F1006594,'229111502998',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
bebe74d1c9e50999ac8e33d5df977b45,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,H1005644,'2291114555210',Thumbs Up  Can - 300 ml,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
82c5cbc65d823c676faca1d2af7f4a35,staff,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,I1002939,'2291113357539',Cappuccino,,V,Food,FALSE,2,,,,,,,,,,,,,,,,,,,,
82c5cbc65d823c676faca1d2af7f4a35,staff,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,J1004939,'229111382644',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3185bbc3f2ea6bfa06bfc7b1257aa0ab,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,M1007805,'2291114941440',Glass of Coke,,V,Food,FALSE,2,,,,,,,,,,,,,,,,,,,,
65b4a666c7d593a60e6d55f766738e35,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,N1001539,'2291113223504',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3222309a85ce1b807bdbc90e9788c880,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,A1011901,'229112141138',Mexican Pizza Puffets,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3eec246136f849bde9eec0471f9c925c,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,A1017508,'2291121753967',Chilli Cheese Toast,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3eec246136f849bde9eec0471f9c925c,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,A1017508,'2291121753967',French Fries Peri Peri,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
c6cab09e6aa647eea5ac2ace23364bed,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,A101B082,'229112201275',Garlic Bread With Cheese,,V,Food,FALSE,2,,,,,,,,,,,,,,,,,,,,
c6cab09e6aa647eea5ac2ace23364bed,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,A101B082,'229112201275',Glass of Coke,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
c6cab09e6aa647eea5ac2ace23364bed,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,A101B082,'229112201275',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
4f5c99dfda81155aa763e3e0da67b2a0,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,B1012807,'2291121521742',Chilli Cheese Poppers 8pcs,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
ca5cbf1f8082b4b39c2260264a5d0509,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:30:00,Thursday,B101D376,'2291122424519',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
